Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$15.88,-0.71,-4.28%,10332202281.00,United States,,18461935,Consumer Discretionary,Air Freight/Delivery Services
ABNB,Airbnb Inc. Class A Common Stock,$119.84,-5.16,-4.128%,71472456999.00,United States,2020,6133771,Consumer Discretionary,Hotels/Resorts
ADP,Automatic Data Processing Inc. Common Stock,$218.98,-1.74,-0.788%,90734700667.00,United States,,1772646,Consumer Discretionary,Business Services
AKAM,Akamai Technologies Inc. Common Stock,$73.70,-0.71,-0.954%,11497200000.00,United States,1999,2155218,Consumer Discretionary,Business Services
AMZN,Amazon.com Inc. Common Stock,$92.25,-1.67,-1.778%,938817936450.00,United States,1997,56136223,Consumer Discretionary,Catalog/Specialty Distribution
ATVI,Activision Blizzard Inc. Common Stock,$78.37,-1.11,-1.397%,61334346250.00,United States,,4771599,Consumer Discretionary,Recreational Games/Products/Toys
AXON,Axon Enterprise Inc. Common Stock,$217.89,-3.91,-1.763%,15506218983.00,United States,2001,745424,Consumer Discretionary,Military/Government/Technical
BKNG,Booking Holdings Inc. Common Stock,$2505.39,-77.48,-3.00%,97182544801.00,United States,,326280,Consumer Discretionary,Other Consumer Services
CDW,CDW Corporation Common Stock,$196.21,-3.77,-1.885%,26565064578.00,United States,2013,582362,Consumer Discretionary,Catalog/Specialty Distribution
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$103.35,0.69,0.672%,12041352734.00,United States,1997,2120330,Consumer Discretionary,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$343.01,-10.86,-3.069%,70282466703.00,United States,,944135,Consumer Discretionary,Telecommunications Equipment
CMCSA,Comcast Corporation Class A Common Stock,$35.47,-0.43,-1.198%,149543517954.00,United States,,14272903,Consumer Discretionary,Telecommunications Equipment
COST,Costco Wholesale Corporation Common Stock,$479.52,-6.52,-1.341%,212776947343.00,United States,,1627905,Consumer Discretionary,Department/Specialty Retail Stores
CPRT,Copart Inc. (DE) Common Stock,$69.64,-1.58,-2.218%,33169532766.00,United States,1994,1892592,Consumer Discretionary,Other Specialty Stores
CTAS,Cintas Corporation Common Stock,$434.27,-4.93,-1.122%,44130725415.00,United States,1983,297974,Consumer Discretionary,Business Services
CZR,Caesars Entertainment Inc. Common Stock,$49.31,-4.04,-7.573%,10580254638.00,United States,,3531014,Consumer Discretionary,Hotels/Resorts
DLTR,Dollar Tree Inc. Common Stock,$139.64,-2.07,-1.461%,30886200648.00,United States,1995,2074436,Consumer Discretionary,Department/Specialty Retail Stores
EA,Electronic Arts Inc. Common Stock,$110.46,-1.82,-1.621%,30291180254.00,United States,,2344639,Consumer Discretionary,Recreational Games/Products/Toys
EBAY,eBay Inc. Common Stock,$42.95,-1.06,-2.409%,23307207787.00,United States,1998,4090401,Consumer Discretionary,Catalog/Specialty Distribution
ETSY,Etsy Inc. Common Stock,$107.74,-5.44,-4.807%,13541659166.00,United States,2015,6962165,Consumer Discretionary,Catalog/Specialty Distribution
EXPD,Expeditors International of Washington Inc. Common Stock,$110.31,-0.56,-0.505%,17554334519.00,United States,,1385835,Consumer Discretionary,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,$100.80,-6.43,-5.996%,15457512067.00,United States,,2532638,Consumer Discretionary,Other Consumer Services
FISV,Fiserv Inc. Common Stock,$115.41,-1.66,-1.418%,73288590251.00,United States,1986,2742655,Consumer Discretionary,Business Services
FIVE,Five Below Inc. Common Stock,$199.53,-1.32,-0.657%,11076646566.00,United States,2012,624345,Consumer Discretionary,Department/Specialty Retail Stores
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$61.93,-1.21,-1.916%,14480601167.00,United States,,262108,Consumer Discretionary,Movies/Entertainment
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$68.67,-1.59,-2.263%,16056561959.00,United States,,1051244,Consumer Discretionary,Movies/Entertainment
LBRDA,Liberty Broadband Corporation Class A Common Stock,$80.26,-2.49,-3.009%,11742003890.00,United States,,129781,Consumer Discretionary,Telecommunications Equipment
LBRDK,Liberty Broadband Corporation Class C Common Stock,$80.19,-2.65,-3.199%,11731762919.00,United States,,634321,Consumer Discretionary,Telecommunications Equipment
LCID,Lucid Group Inc. Common Stock,$8.00,-0.34,-4.077%,14626481624.00,United States,,19854394,Consumer Discretionary,Auto Manufacturing
LKQ,LKQ Corporation Common Stock,$55.98,-1.56,-2.711%,14956455660.00,United States,2003,1470755,Consumer Discretionary,Automotive Aftermarket
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,$32.00,0.00,0.00%,10446786816.00,United States,,522,Consumer Discretionary,Broadcasting
MAR,Marriott International Class A Common Stock,$167.73,-5.71,-3.292%,51681161999.00,United States,,1869840,Consumer Discretionary,Hotels/Resorts
NFLX,Netflix Inc. Common Stock,$297.78,-14.01,-4.493%,132615362957.00,United States,2002,7431542,Consumer Discretionary,Consumer Electronics/Video Chains
ORLY,O'Reilly Automotive Inc. Common Stock,$822.31,-8.25,-0.993%,51273677161.00,United States,1993,379836,Consumer Discretionary,Auto & Home Supply Stores
PARA,Paramount Global Class B Common Stock,$20.86,-1.01,-4.618%,13569781554.00,United States,,9072704,Consumer Discretionary,Movies/Entertainment
PARAA,Paramount Global Class A Common Stock,$24.09,-1.13,-4.481%,15670950989.00,United States,,22275,Consumer Discretionary,Movies/Entertainment
PAYX,Paychex Inc. Common Stock,$111.05,-1.64,-1.455%,40029810155.00,United States,1983,1279132,Consumer Discretionary,Business Services
PYPL,PayPal Holdings Inc. Common Stock,$75.93,0.09,0.119%,85905174517.00,United States,,17387150,Consumer Discretionary,Business Services
RIVN,Rivian Automotive Inc. Class A Common Stock,$14.53,-0.60,-3.966%,13381487847.00,United States,2021,40667344,Consumer Discretionary,Auto Manufacturing
ROST,Ross Stores Inc. Common Stock,$105.56,-3.48,-3.191%,36351803710.00,United States,1985,2034149,Consumer Discretionary,Clothing/Shoe/Accessory Stores
SBUX,Starbucks Corporation Common Stock,$100.30,-2.20,-2.146%,115274790000.00,United States,1992,5731591,Consumer Discretionary,Beverages - Non-Alcoholic
SIRI,Sirius XM Holdings Inc. Common Stock,$3.80,-0.06,-1.554%,14783901680.00,United States,,18990371,Consumer Discretionary,Movies/Entertainment
TSCO,Tractor Supply Company Common Stock,$226.91,-1.54,-0.674%,25065214923.00,United States,1994,1065419,Consumer Discretionary,Other Specialty Stores
TSLA,Tesla Inc. Common Stock,$172.92,-9.08,-4.989%,547136639057.00,United States,2010,168818033,Consumer Discretionary,Auto Manufacturing
UAL,United Airlines Holdings Inc. Common Stock,$52.12,-2.14,-3.944%,17048087004.00,United States,,6468000,Consumer Discretionary,Air Freight/Delivery Services
VRSK,Verisk Analytics Inc. Common Stock,$183.17,-1.70,-0.92%,28645580802.00,United States,2009,985471,Consumer Discretionary,Business Services
WMG,Warner Music Group Corp. Class A Common Stock,$30.04,-0.92,-2.972%,15498803745.00,United States,2020,918599,Consumer Discretionary,Movies/Entertainment
WSC,WillScot Mobile Mini Holdings Corp. Class A Common Stock,$51.28,-1.43,-2.713%,10711869508.00,United States,2015,1755085,Consumer Discretionary,Diversified Commercial Services
WYNN,Wynn Resorts Limited Common stock,$109.63,-3.91,-3.444%,12422568981.00,United States,2002,2850462,Consumer Discretionary,Hotels/Resorts
