Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CG,The Carlyle Group Inc. Common Stock,$33.17,-1.47,-4.244%,12081144694.00,United States,2012,4508772,Finance,Investment Managers
CINF,Cincinnati Financial Corporation Common Stock,$114.91,-2.09,-1.786%,18052361000.00,United States,,657001,Finance,Property-Casualty Insurers
CME,CME Group Inc. Class A Common Stock,$177.47,-3.35,-1.853%,63840948924.00,United States,2002,1644953,Finance,Investment Bankers/Brokers/Service
COIN,Coinbase Global Inc. Class A Common Stock,$58.09,-4.92,-7.808%,15213771000.00,United States,,20922906,Finance,Investment Bankers/Brokers/Service
CSGP,CoStar Group Inc. Common Stock,$68.87,-1.49,-2.118%,28008744432.00,United States,1998,1794865,Finance,Real Estate
ERIE,Erie Indemnity Company Class A Common Stock,$229.66,-5.54,-2.355%,12008891085.00,United States,,62660,Finance,Specialty Insurers
FITB,Fifth Third Bancorp Common Stock,$31.69,-2.00,-5.936%,21656502340.00,United States,,6311762,Finance,Major Banks
HBAN,Huntington Bancshares Incorporated Common Stock,$13.74,-0.70,-4.848%,19827051986.00,United States,,20983562,Finance,Major Banks
LPLA,LPL Financial Holdings Inc. Common Stock,$242.49,-10.66,-4.211%,19216847278.00,United States,2010,1242836,Finance,Investment Bankers/Brokers/Service
MKTX,MarketAxess Holdings Inc. Common Stock,$353.35,-5.74,-1.598%,13298971407.00,United States,2004,233589,Finance,Investment Bankers/Brokers/Service
NDAQ,Nasdaq Inc. Common Stock,$54.32,-0.81,-1.469%,26835890051.00,United States,,2524557,Finance,Investment Bankers/Brokers/Service
NTRS,Northern Trust Corporation Common Stock,$86.91,-5.18,-5.625%,18114477480.00,United States,,2003222,Finance,Trusts Except Educational Religious and Charitable
PFG,Principal Financial Group Inc Common Stock,$78.91,-4.32,-5.19%,19183346346.00,United States,2001,1812532,Finance,Investment Managers
TROW,T. Rowe Price Group Inc. Common Stock,$111.32,-1.33,-1.181%,24980088220.00,United States,1986,1683863,Finance,Investment Managers
TW,Tradeweb Markets Inc. Class A Common Stock,$70.66,-0.90,-1.258%,14698031469.00,United States,2019,700151,Finance,Investment Bankers/Brokers/Service
