Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ALGN,Align Technology Inc. Common Stock,$321.64,-10.62,-3.196%,24862772000.00,United States,2001,859737,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$185.95,-4.46,-2.342%,22877100112.00,United States,2004,1336010,Health Care,Biotechnology: Pharmaceutical Preparations
AMGN,Amgen Inc. Common Stock,$225.79,-2.64,-1.156%,120566494778.00,United States,1983,1736860,Health Care,Biotechnology: Pharmaceutical Preparations
BIIB,Biogen Inc. Common Stock,$258.99,-4.03,-1.532%,37420337458.00,United States,,883963,Health Care,Biotechnology: Pharmaceutical Preparations
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$92.99,-1.32,-1.40%,17282090606.00,United States,1999,1539586,Health Care,Biotechnology: Pharmaceutical Preparations
DXCM,DexCom Inc. Common Stock,$112.08,-0.66,-0.585%,43309246375.00,United States,2005,3222784,Health Care,Medical Specialities
EXAS,Exact Sciences Corporation Common Stock,$64.72,-0.28,-0.431%,11499711004.00,United States,2001,3207932,Health Care,Biotechnology: Commercial Physical & Biological Resarch
GILD,Gilead Sciences Inc. Common Stock,$78.95,-1.25,-1.559%,98450650000.00,United States,1992,7500035,Health Care,Biotechnology: Pharmaceutical Preparations
HOLX,Hologic Inc. Common Stock,$78.49,0.23,0.294%,19352025501.00,United States,1990,1633540,Health Care,Medical Electronics
HSIC,Henry Schein Inc. Common Stock,$77.25,-0.56,-0.72%,10141651534.00,United States,1995,772287,Health Care,Medical Specialities
IDXX,IDEXX Laboratories Inc. Common Stock,$472.28,-9.94,-2.061%,39153604056.00,United States,1991,534297,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ILMN,Illumina Inc. Common Stock,$202.59,-5.44,-2.615%,32009220000.00,United States,2000,748977,Health Care,Medical Specialities
INCY,Incyte Corp. Common Stock,$72.86,-0.93,-1.26%,16245231211.00,United States,,956180,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ISRG,Intuitive Surgical Inc. Common Stock,$228.57,-2.52,-1.09%,80088568929.00,United States,2000,1181554,Health Care,Medical/Dental Instruments
MRNA,Moderna Inc. Common Stock,$137.36,-4.72,-3.322%,52771029222.00,United States,2018,3091204,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PODD,Insulet Corporation Common Stock,$283.12,-3.05,-1.066%,19662316793.00,United States,2007,373481,Health Care,Medical/Dental Instruments
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$743.75,-1.45,-0.195%,81310864425.00,United States,1991,599992,Health Care,Biotechnology: Pharmaceutical Preparations
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$33.52,-0.84,-2.445%,14854925326.00,United States,2020,2602859,Health Care,Biotechnology: Pharmaceutical Preparations
SGEN,Seagen Inc. Common Stock,$173.64,-2.72,-1.542%,32434105686.00,United States,2001,1222356,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),$148.44,-4.52,-2.955%,13030445581.00,United States,,2179400,Health Care,Biotechnology: Pharmaceutical Preparations
TECH,Bio-Techne Corp Common Stock,$74.06,-0.48,-0.644%,11647801312.00,United States,,822140,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
UTHR,United Therapeutics Corporation Common Stock,$225.26,2.62,1.177%,10266664658.00,United States,1999,1186987,Health Care,Biotechnology: Pharmaceutical Preparations
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$286.88,1.70,0.596%,73754392594.00,United States,1991,999975,Health Care,Biotechnology: Pharmaceutical Preparations
VTRS,Viatris Inc. Common Stock,$10.13,-0.43,-4.072%,12284494978.00,United States,,9335459,Health Care, Medicinal Chemicals and Botanical Products 
