Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BRKR,Bruker Corporation Common Stock,$73.65,-0.33,-0.446%,10832642623.00,United States,,426642,Industrials,Biotechnology: Laboratory Analytical Instruments
CSX,CSX Corporation Common Stock,$29.76,-0.51,-1.685%,61383137716.00,United States,,12299812,Industrials,Railroads
FOX,Fox Corporation Class B Common Stock,$30.63,-1.21,-3.80%,16373621410.00,United States,,828150,Industrials,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$33.27,-1.23,-3.565%,17784863999.00,United States,,2899105,Industrials,Broadcasting
HON,Honeywell International Inc. Common Stock,$192.88,-2.69,-1.375%,128870891806.00,United States,,3188576,Industrials,Consumer Electronics/Appliances
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$179.61,-3.98,-2.168%,18633280230.00,United States,,614569,Industrials,Trucking Freight/Courier Services
NDSN,Nordson Corporation Common Stock,$218.18,-2.20,-0.998%,12475245057.00,United States,,217835,Industrials,Industrial Machinery/Components
ODFL,Old Dominion Freight Line Inc. Common Stock,$342.97,-7.47,-2.132%,37891881897.00,United States,1991,573144,Industrials,Trucking Freight/Courier Services
PCAR,PACCAR Inc. Common Stock,$74.31,-1.65,-2.172%,902713039298.00,United States,,2511394,Industrials,Construction/Ag Equipment/Trucks
POOL,Pool Corporation Common Stock,$349.04,-7.53,-2.112%,13630227707.00,United States,1995,261774,Industrials,Industrial Machinery/Components
STLD,Steel Dynamics Inc.,$128.19,-4.42,-3.333%,22506498920.00,United States,1996,1334251,Industrials,Steel/Iron Ore
TER,Teradyne Inc. Common Stock,$102.14,-1.11,-1.075%,15908932752.00,United States,,1652112,Industrials,Electrical Products
TRMB,Trimble Inc. Common Stock,$49.76,-1.34,-2.622%,12288316443.00,United States,1990,1627223,Industrials,Industrial Machinery/Components
