Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$100.28,-0.25,-0.249%,2844361775.00,United States,,768312,Consumer Discretionary,Transportation Services
AEIS,Advanced Energy Industries Inc. Common Stock,$94.61,-0.69,-0.724%,3544896110.00,United States,1995,215215,Consumer Discretionary,Electrical Products
ASO,Academy Sports and Outdoors Inc. Common Stock,$61.01,0.13,0.214%,4767619922.00,United States,2020,1418232,Consumer Discretionary,Recreational Games/Products/Toys
BECN,Beacon Roofing Supply Inc. Common Stock,$64.65,-0.81,-1.237%,4206254680.00,United States,2004,443347,Consumer Discretionary,Wholesale Distributors
BLMN,Bloomin' Brands Inc. Common Stock,$25.64,-0.66,-2.51%,2251029032.00,United States,2012,1305283,Consumer Discretionary,Restaurants
CAR,Avis Budget Group Inc. Common Stock,$208.84,-13.09,-5.898%,8243025903.00,United States,,335590,Consumer Discretionary,Rental/Leasing Companies
CBRL,Cracker Barrel Old Country Store Inc Common Stock,$107.88,-3.19,-2.872%,2395059199.00,United States,1981,497926,Consumer Discretionary,Restaurants
CCOI,Cogent Communications Holdings Inc.,$60.93,-0.545,-0.887%,2925251859.00,United States,,268039,Consumer Discretionary,Telecommunications Equipment
CHDN,Churchill Downs Incorporated Common Stock,$241.14,-4.25,-1.732%,9019424287.00,United States,,253635,Consumer Discretionary,Services-Misc. Amusement & Recreation
COLM,Columbia Sportswear Company Common Stock,$87.57,-1.03,-1.163%,5439290229.00,United States,1998,259964,Consumer Discretionary,Apparel
CROX,Crocs Inc. Common Stock,$119.63,-4.17,-3.368%,7387359699.00,United States,2006,1477668,Consumer Discretionary,Shoe Manufacturing
CVCO,Cavco Industries Inc. Common Stock When Issued,$289.57,-5.23,-1.774%,2517434419.00,United States,,84058,Consumer Discretionary,Homebuilding
DISH,DISH Network Corporation Class A Common Stock,$11.29,0.09,0.804%,5991676058.00,United States,1995,7271066,Consumer Discretionary,Telecommunications Equipment
DKNG,DraftKings Inc. Class A Common Stock,$18.74,-0.84,-4.29%,8463551222.00,United States,2019,10603191,Consumer Discretionary,Services-Misc. Amusement & Recreation
DNUT,Krispy Kreme Inc. Common Stock,$13.45,0.06,0.448%,2261442650.00,United States,2021,640845,Consumer Discretionary,Specialty Foods
DORM,Dorman Products Inc. Common Stock,$84.83,0.09,0.106%,2665237717.00,United States,,98586,Consumer Discretionary,Auto Parts:O.E.M.
DSEY,Diversey Holdings Ltd. Ordinary Shares,$8.14,-0.04,-0.489%,2639931939.00,United States,2021,26551602,Consumer Discretionary,Specialty Chemicals
EXPO,Exponent Inc. Common Stock,$101.95,-0.95,-0.923%,5162567447.00,United States,,131481,Consumer Discretionary,Professional Services
FA,First Advantage Corporation Common Stock,$13.51,-0.07,-0.515%,2052567842.00,United States,2021,215952,Consumer Discretionary,Business Services
FELE,Franklin Electric Co. Inc. Common Stock,$92.37,-1.60,-1.703%,4278443078.00,United States,,107194,Consumer Discretionary,Metal Fabrications
FOXF,Fox Factory Holding Corp. Common Stock,$117.83,-1.68,-1.406%,4980375165.00,United States,2013,161659,Consumer Discretionary,Auto Parts:O.E.M.
FTAI,FTAI Aviation Ltd. Common Stock,$24.79,-1.02,-3.952%,2470676088.00,United States,,1916497,Consumer Discretionary,Diversified Commercial Services
FTDR,Frontdoor Inc. Common Stock,$27.00,-0.66,-2.386%,2200304547.00,United States,,1011603,Consumer Discretionary,Other Consumer Services
FWRD,Forward Air Corporation Common Stock,$107.13,-0.61,-0.566%,2848554240.00,United States,,147837,Consumer Discretionary,Oil Refining/Marketing
FYBR,Frontier Communications Parent Inc. Common Stock,$25.63,-1.10,-4.115%,6279452520.00,United States,,1216862,Consumer Discretionary,Telecommunications Equipment
GNTX,Gentex Corporation Common Stock,$27.57,-0.63,-2.234%,6467429765.00,United States,,1272237,Consumer Discretionary,Auto Parts:O.E.M.
GO,Grocery Outlet Holding Corp. Common Stock,$27.19,0.48,1.797%,2645015385.00,United States,2019,1402770,Consumer Discretionary,Specialty Foods
GT,The Goodyear Tire & Rubber Company Common Stock,$11.28,-0.28,-2.422%,3192364700.00,United States,,5743144,Consumer Discretionary,Automotive Aftermarket
HAS,Hasbro Inc. Common Stock,$51.21,-1.54,-2.919%,7072803704.00,United States,,2293961,Consumer Discretionary,Recreational Games/Products/Toys
HTZ,Hertz Global Holdings Inc Common Stock,$18.48,-1.35,-6.808%,5958108747.00,United States,,3827619,Consumer Discretionary,Rental/Leasing Companies
HUBG,Hub Group Inc. Class A Common Stock,$90.63,-1.07,-1.167%,3010866720.00,United States,1996,130193,Consumer Discretionary,Oil Refining/Marketing
IAC,IAC Inc. Common Stock,$50.36,-1.38,-2.667%,4477004000.00,United States,,659452,Consumer Discretionary,EDP Services
ICFI,ICF International Inc. Common Stock,$107.58,-0.83,-0.766%,2027226224.00,United States,2006,81711,Consumer Discretionary,Professional Services
IPAR,Inter Parfums Inc. Common Stock,$133.80,-2.12,-1.56%,4264958625.00,United States,,175965,Consumer Discretionary,Package Goods/Cosmetics
IRDM,Iridium Communications Inc Common Stock,$59.39,0.13,0.219%,7481163679.00,United States,,648763,Consumer Discretionary,Telecommunications Equipment
JBLU,JetBlue Airways Corporation Common Stock,$7.67,-0.39,-4.839%,2484141299.00,United States,2002,8356110,Consumer Discretionary,Air Freight/Delivery Services
LAZR,Luminar Technologies Inc.  Class A Common Stock,$9.11,-0.47,-4.906%,3304724023.00,United States,2019,8895270,Consumer Discretionary,Auto Parts:O.E.M.
LGIH,LGI Homes Inc. Common Stock,$102.625,-1.735,-1.663%,2390165601.00,United States,2013,167290,Consumer Discretionary,Homebuilding
LNW,Light & Wonder Inc. Common Stock,$59.30,-3.66,-5.813%,5554843828.00,United States,,457006,Consumer Discretionary,Movies/Entertainment
LOPE,Grand Canyon Education Inc. Common Stock,$108.96,-1.78,-1.607%,3382053787.00,United States,2008,142418,Consumer Discretionary,Service to the Health Industry
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,$28.80,-0.39,-1.336%,9402108134.00,United States,,1927321,Consumer Discretionary,Broadcasting
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,$28.73,-0.34,-1.17%,9379255788.00,United States,,3253335,Consumer Discretionary,Broadcasting
MAT,Mattel Inc. Common Stock,$17.15,-0.45,-2.557%,6077986377.00,United States,,1820849,Consumer Discretionary,Recreational Games/Products/Toys
MGRC,McGrath RentCorp Common Stock,$98.25,-0.64,-0.647%,2395575221.00,United States,1984,120826,Consumer Discretionary,Diversified Commercial Services
NWS,News Corporation Class B Common Stock,$16.43,-0.48,-2.839%,9457195375.00,United States,,1085045,Consumer Discretionary,Movies/Entertainment
NWSA,News Corporation Class A Common Stock,$16.29,-0.48,-2.862%,9376610630.00,United States,,3382286,Consumer Discretionary,Movies/Entertainment
