Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CALM,Cal-Maine Foods Inc. Common Stock,$55.85,-0.02,-0.036%,2732748822.00,United States,1996,580099,Consumer Staples,Farming/Seeds/Milling
CELH,Celsius Holdings Inc. Common Stock,$87.00,-1.21,-1.372%,6631592487.00,United States,,847499,Consumer Staples,Beverages (Production/Distribution)
COKE,Coca-Cola Consolidated Inc. Common Stock,$531.72,-11.19,-2.061%,4984177915.00,United States,1972,41260,Consumer Staples,Beverages (Production/Distribution)
FIZZ,National Beverage Corp. Common Stock,$46.33,-1.22,-2.566%,4325041988.00,United States,,168559,Consumer Staples,Beverages (Production/Distribution)
JJSF,J & J Snack Foods Corp. Common Stock,$140.99,-0.97,-0.683%,2711143237.00,United States,1986,68767,Consumer Staples,Specialty Foods
LANC,Lancaster Colony Corporation Common Stock,$188.78,-0.29,-0.153%,5204853380.00,United States,,117635,Consumer Staples,Packaged Foods
MGPI,MGP Ingredients Inc.,$95.33,-1.28,-1.325%,2096691452.00,United States,,117675,Consumer Staples,Beverages (Production/Distribution)
PPC,Pilgrim's Pride Corporation Common Stock,$23.70,-0.19,-0.795%,5604323951.00,United States,,801131,Consumer Staples,Meat/Poultry/Fish
SMPL,The Simply Good Foods Company Common Stock,$36.17,-0.27,-0.741%,3598602383.00,United States,,306473,Consumer Staples,Packaged Foods
TWNK,Hostess Brands Inc. Class A Common Stock,$24.16,-0.11,-0.453%,3234703566.00,United States,2015,866172,Consumer Staples,Specialty Foods
