Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAON,AAON Inc. Common Stock,$92.17,0.07,0.076%,4903401325.00,United States,,184797,Industrials,Industrial Machinery/Components
AIMC,Altra Industrial Motion Corp. Common Stock,$61.55,0.00,0.00%,4011449914.00,United States,2006,1012326,Industrials,Industrial Machinery/Components
ARCB,ArcBest Corporation Common Stock,$99.21,-2.41,-2.372%,2403792127.00,United States,,195220,Industrials,Trucking Freight/Courier Services
AVAV,AeroVironment Inc. Common Stock,$91.47,-2.23,-2.38%,2301139695.00,United States,2007,212612,Industrials,Aerospace
BCPC,Balchem Corporation Common Stock,$127.25,-1.73,-1.341%,4089194275.00,United States,,98489,Industrials,Industrial Specialties
CGNX,Cognex Corporation Common Stock,$48.27,-0.37,-0.761%,8328324208.00,United States,1989,968890,Industrials,Industrial Machinery/Components
CHX,ChampionX Corporation Common Stock ,$28.96,-1.25,-4.138%,5752523060.00,United States,,1914649,Industrials,Construction/Ag Equipment/Trucks
CRCT,Cricut Inc. Class A Common Stock,$9.20,-0.01,-0.109%,2031529878.00,United States,2021,150175,Industrials,Wholesale Distributors
CSWI,CSW Industrials Inc. Common Stock,$140.81,-2.19,-1.531%,2179024189.00,United States,,70452,Industrials,Home Furnishings
IOSP,Innospec Inc. Common Stock,$104.15,-2.23,-2.096%,5158522838.00,United States,,79868,Industrials,Industrial Specialties
ITRI,Itron Inc. Common Stock,$53.92,-0.26,-0.48%,2435997383.00,United States,1993,231571,Industrials,Electrical Products
LECO,Lincoln Electric Holdings Inc. Common Shares,$171.33,-0.40,-0.233%,9892320072.00,United States,,397225,Industrials,Industrial Machinery/Components
LSTR,Landstar System Inc. Common Stock,$178.62,-2.05,-1.135%,6417282526.00,United States,1993,174575,Industrials,Trucking Freight/Courier Services
MIDD,Middleby Corporation (The) Common Stock,$150.03,-3.39,-2.21%,8084144806.00,United States,,287113,Industrials,Diversified Manufacture
MKSI,MKS Instruments Inc. Common Stock,$90.20,-2.86,-3.073%,5998910654.00,United States,1999,493426,Industrials,Industrial Machinery/Components
MYRG,MYR Group Inc. Common Stock,$122.49,0.03,0.024%,2033426357.00,United States,2008,151493,Industrials,Water Sewer Pipeline Comm & Power Line Construction
NWL,Newell Brands Inc. Common Stock,$13.02,-0.43,-3.197%,5385072000.00,United States,,4212261,Industrials,Plastic Products
QRVO,Qorvo Inc. Common Stock,$97.54,-3.79,-3.74%,9743193543.00,United States,,1751343,Industrials,Industrial Machinery/Components
REYN,Reynolds Consumer Products Inc. Common Stock,$26.64,-0.26,-0.967%,5590741209.00,United States,2020,328524,Industrials,Office Equipment/Supplies/Services
RGLD,Royal Gold Inc. Common Stock,$112.91,0.93,0.831%,7411876460.00,United States,,395038,Industrials,Consumer Electronics/Appliances
RUN,Sunrun Inc. Common Stock,$23.64,-0.61,-2.515%,5037771917.00,United States,2015,5060228,Industrials,Building Products
SAIA,Saia Inc. Common Stock,$280.66,-8.90,-3.074%,7426954866.00,United States,,232281,Industrials,Trucking Freight/Courier Services
WDFC,WD-40 Company Common Stock,$168.70,-0.81,-0.478%,2292227445.00,United States,1973,147245,Industrials,Industrial Specialties
WERN,Werner Enterprises Inc. Common Stock,$46.55,-0.55,-1.168%,2943030790.00,United States,1986,320968,Industrials,Trucking Freight/Courier Services
WFRD,Weatherford International plc Ordinary Shares,$62.81,-3.93,-5.889%,4452621062.00,United States,,886548,Industrials,Metal Fabrications
WIRE,Encore Wire Corporation Common Stock,$191.08,-4.14,-2.121%,3491105357.00,United States,1992,113263,Industrials,Metal Fabrications
WWD,Woodward Inc. Common Stock,$96.83,-1.76,-1.785%,5783509687.00,United States,,256348,Industrials,Military/Government/Technical
