Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAIC,Arlington Asset Investment Corp Class A (new),$2.93,-0.10,-3.30%,83114367.00,United States,,98021,Real Estate,Real Estate Investment Trusts
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,$23.00,-0.10,-0.433%,0.00,United States,,2971,Finance,Finance/Investors Services
AAT,American Assets Trust Inc. Common Stock,$21.38,-1.12,-4.978%,1298147312.00,United States,2011,1829711,Real Estate,Real Estate Investment Trusts
AC,Associated Capital Group Inc. Common Stock,$36.01,-0.30,-0.826%,791851042.00,United States,2015,5838,Finance,Investment Bankers/Brokers/Service
ACCO,Acco Brands Corporation Common Stock,$5.30,-0.14,-2.574%,499582908.00,United States,,409642,Consumer Discretionary,Advertising
ACEL,Accel Entertainment Inc. ,$8.95,-0.20,-2.186%,782830348.00,United States,2017,158698,Consumer Discretionary,Recreational Games/Products/Toys
ACHR,Archer Aviation Inc. Class A Common Stock,$2.83,-0.01,-0.352%,688524270.00,United States,2020,1602214,Industrials,Aerospace
ACP,abrdn Income Credit Strategies Fund Common Shares,$7.30,-0.21,-2.796%,181166889.00,United States,2011,237758,Finance,Investment Managers
ACR,ACRES Commercial Realty Corp. Common Stock,$9.03,-0.42,-4.444%,79089896.00,United States,,4149,Real Estate,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation Common Stock,$10.24,-0.34,-3.214%,559173898.00,United States,2012,1072595,Real Estate,Real Estate Investment Trusts
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$20.25,-0.13,-0.638%,209849819.00,United States,2015,24681,Finance,Finance/Investors Services
ADX,Adams Diversified Equity Fund Inc.,$15.11,-0.26,-1.692%,1826272432.00,United States,,444557,Finance,Investment Managers
AESC,The AES Corporation Corporate Units,$90.3818,-0.8682,-0.951%,0.00,United States,,4754,Utilities,Electric Utilities: Central
AFB,AllianceBernstein National Municipal Income Fund Inc,$10.36,-0.05,-0.48%,297797537.00,United States,2002,64574,Finance,Trusts Except Educational Religious and Charitable
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,$24.5657,-0.0643,-0.261%,0.00,United States,2019,6237,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,$21.17,-0.77,-3.51%,21128930.00,United States,2019,4595,Finance,Real Estate
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,$9.32,-0.12,-1.271%,116962104.00,United States,2006,100912,Finance,Trusts Except Educational Religious and Charitable
AGM,Federal Agricultural Mortgage Corporation Common Stock,$135.20,-7.74,-5.415%,1460243418.00,United States,,128689,Finance,Finance Companies
AGS,PlayAGS Inc. Common Stock,$6.35,-0.31,-4.655%,239770736.00,United States,2018,242646,Consumer Discretionary,Recreational Games/Products/Toys
AGX,Argan Inc. Common Stock,$41.36,1.32,3.297%,561515148.00,United States,,211007,Industrials,Oilfield Services/Equipment
AHH,Armada Hoffler Properties Inc. Common Stock,$12.48,-0.18,-1.422%,845268391.00,United States,2013,243578,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,$4.04,-0.37,-8.39%,139375932.00,United States,2003,760223,Real Estate,Real Estate Investment Trusts
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,$24.15,0.20,0.835%,0.00,United States,2015,1727,Real Estate,Real Estate Investment Trusts
AIR,AAR Corp. Common Stock,$53.95,-0.72,-1.317%,1858853562.00,United States,,223681,Industrials,Aerospace
AIV,Apartment Investment and Management Company Common Stock,$7.61,-0.20,-2.561%,1153920882.00,United States,1994,1162287,Real Estate,Real Estate Investment Trusts
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,$21.47,-0.03,-0.14%,0.00,United States,2020,13063,Finance,Property-Casualty Insurers
AJX,Great Ajax Corp. Common Stock,$7.15,-0.16,-2.189%,163682333.00,United States,2015,139152,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,$24.05,-0.03,-0.125%,0.00,United States,2017,11018,Real Estate,Real Estate Investment Trusts
AKR,Acadia Realty Trust Common Stock,$13.79,-0.32,-2.268%,1311715460.00,United States,,356754,Real Estate,Real Estate Investment Trusts
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,$18.60,-0.50,-2.618%,1349322771.00,United States,,258028,Real Estate,Real Estate Investment Trusts
ALX,Alexander's Inc. Common Stock,$198.53,-6.22,-3.038%,1013950284.00,United States,,21788,Real Estate,Real Estate Investment Trusts
AMBC,Ambac Financial Group Inc. Common Stock,$15.88,-0.53,-3.23%,714143117.00,United States,,538785,Finance,Property-Casualty Insurers
AMPY,Amplify Energy Corp. Common Stock,$9.71,-0.15,-1.521%,373279637.00,United States,2016,501963,Energy,Oil & Gas Production
AMWL,American Well Corporation Class A Common Stock,$2.50,-0.12,-4.58%,688524090.00,United States,2020,1021924,Technology,Retail: Computer Software & Peripheral Equipment
ANF,Abercrombie & Fitch Company Common Stock,$27.03,-0.65,-2.348%,1324517086.00,United States,,1358642,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANVS,Annovis Bio Inc. Common Stock,$15.66,-0.60,-3.69%,127847034.00,United States,2020,61187,Health Care, Medicinal Chemicals and Botanical Products 
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,$7.99,-0.09,-1.114%,842393682.00,United States,2007,153542,Finance,Investment Managers
AORT,Artivion Inc. Common Stock,$12.30,-0.20,-1.60%,496218900.00,United States,,148039,Health Care,Medical/Dental Instruments
AP,Ampco-Pittsburgh Corporation Common Stock,$2.60,-0.02,-0.763%,50449149.00,United States,,10160,Industrials,Metal Fabrications
APRN,Blue Apron Holdings Inc. Class A Common Stock,$0.7648,-0.0593,-7.196%,30269713.00,United States,2017,2030820,Consumer Discretionary,Catalog/Specialty Distribution
ARC,ARC Document Solutions Inc. Common Stock,$3.25,0.06,1.881%,139833402.00,United States,2004,159151,Consumer Discretionary,Business Services
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,$12.38,-0.11,-0.881%,283687700.00,United States,2012,55637,Finance,Investment Managers
ARI,Apollo Commercial Real Estate Finance Inc,$10.54,-0.51,-4.615%,1488944051.00,United States,2009,1244664,Real Estate,Real Estate Investment Trusts
ARL,American Realty Investors Inc. Common Stock,$25.85,-0.53,-2.009%,417530312.00,United States,,5674,Real Estate,Building operators
ARLO,Arlo Technologies Inc. Common Stock,$5.96,0.60,11.194%,527292262.00,United States,2018,6269145,Technology,Security Systems Services
AROC,Archrock Inc. Common Stock,$10.77,-0.21,-1.913%,1675937255.00,United States,,836342,Energy,Oil & Gas Production
ARR,ARMOUR Residential REIT Inc.,$5.23,-0.14,-2.607%,1008211059.00,United States,,5258845,Real Estate,Real Estate Investment Trusts
ASA,ASA  Gold and Precious Metals Limited,$14.09,-0.01,-0.071%,271794761.00,United States,,32393,Industrials,Precious Metals
ASG,Liberty All-Star Growth Fund Inc.,$5.11,-0.12,-2.294%,287735372.00,United States,,113317,Finance,Finance Companies
ASIX,AdvanSix Inc. Common Stock ,$37.97,-0.91,-2.341%,1041661766.00,United States,2016,116440,Industrials,Major Chemicals
ASPN,Aspen Aerogels Inc. Common Stock,$9.11,-0.77,-7.794%,637654113.00,United States,2014,1224863,Industrials,Wholesale Distributors
ATGE,Adtalem Global Education Inc. Common Stock,$38.61,0.54,1.418%,1754854809.00,United States,,244712,Consumer Discretionary,Other Consumer Services
ATUS,Altice USA Inc. Class A Common Stock,$3.81,-0.23,-5.693%,1737178457.00,United States,2017,4456196,Telecommunications,Telecommunications Equipment
AUD,Audacy Common Stock,$0.1551,-0.0018,-1.147%,22497541.00,United States,,513690,Consumer Discretionary,Broadcasting
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),$20.45,-0.17,-0.824%,604944272.00,United States,1998,126460,Industrials,Agricultural Chemicals
AVK,Advent Convertible and Income Fund,$12.17,-0.25,-2.013%,421006169.00,United States,2003,68959,Finance,Trusts Except Educational Religious and Charitable
AVNS,Avanos Medical Inc. Common Stock,$28.13,0.05,0.178%,1307977713.00,United States,2014,233524,Health Care,Industrial Specialties
AWF,Alliancebernstein Global High Income Fund,$9.72,-0.27,-2.703%,838152460.00,United States,1993,344436,Finance,Trusts Except Educational Religious and Charitable
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,$4.09,-0.13,-3.081%,349318520.00,United States,2007,222483,Finance,Trusts Except Educational Religious and Charitable
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,$8.61,-0.52,-5.696%,986530950.00,United States,,799782,Consumer Discretionary,Auto Parts:O.E.M.
AXR,AMREP Corporation Common Stock,$12.95,-0.53,-3.932%,68051072.00,United States,,4788,Real Estate,Homebuilding
AZZ,AZZ Inc.,$41.75,-0.38,-0.902%,1039346461.00,United States,,104790,Industrials,Industrial Specialties
BANC,Banc of California Inc. Common Stock,$15.41,-1.37,-8.164%,909526786.00,United States,,1005449,Finance,Major Banks
BBDC,Barings BDC Inc. Common Stock,$7.99,-0.29,-3.502%,869566386.00,United States,,735541,Finance,Investment Managers
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,$17.32,-0.05,-0.288%,1055513639.00,United States,2010,135605,Finance,Finance Companies
BBW,Build-A-Bear Workshop Inc. Common Stock,$24.91,4.33,21.04%,367433560.00,United States,2004,2098355,Consumer Discretionary,Recreational Games/Products/Toys
BCAT,BlackRock Capital Allocation Trust Common Shares of Beneficial Interest,$14.78,-0.09,-0.605%,1639573275.00,United States,2020,312074,Finance,Finance/Investors Services
BCSF,Bain Capital Specialty Finance Inc. Common Stock,$12.69,-0.49,-3.718%,819295143.00,United States,2018,131711,Finance,Finance/Investors Services
BCX,BlackRock Resources Common Shares of Beneficial Interest,$9.75,-0.17,-1.714%,861080942.00,United States,2011,281685,Finance,Finance/Investors Services
BDJ,Blackrock Enhanced Equity Dividend Trust,$8.70,-0.21,-2.357%,1618229876.00,United States,2005,532551,Finance,Finance Companies
BDN,Brandywine Realty Trust Common Stock,$5.49,-0.12,-2.139%,941918240.00,United States,,2815274,Real Estate,Real Estate Investment Trusts
BDXB,Becton Dickinson and Company Depositary Shares each Representing a 1/20th Interest in a Share of 6.00% Mandatory Convertible Preferred Stock Series B,$48.24,-0.31,-0.639%,0.00,United States,,1857206,Health Care,Medical/Dental Instruments
BFH,Bread Financial Holdings Inc. Common Stock,$35.42,-2.15,-5.723%,1765795669.00,United States,,685797,Finance,Diversified Financial Services
BFK,BlackRock Municipal Income Trust,$10.07,0.10,1.003%,453563645.00,United States,,238972,Finance,Finance Companies
BFS,Saul Centers Inc. Common Stock,$38.07,-0.73,-1.881%,909689693.00,United States,1993,32628,Real Estate,Real Estate Investment Trusts
BFZ,BlackRock California Municipal Income Trust,$11.41,0.09,0.795%,355135565.00,United States,2001,43648,Finance,Finance Companies
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,$13.35,-0.15,-1.111%,267858579.00,United States,2012,48700,Finance,Investment Managers
BGR,BlackRock Energy and Resources Trust,$12.38,-0.20,-1.59%,352797391.00,United States,2004,44006,Finance,Trusts Except Educational Religious and Charitable
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,$15.03,-0.32,-2.085%,1077172204.00,United States,,739946,Consumer Staples,Packaged Foods
BGSF,BGSF Inc. Common Stock,$13.87,-0.08,-0.573%,145632600.00,United States,,20632,Consumer Discretionary,Diversified Commercial Services
BGT,BlackRock Floating Rate Income Trust,$11.55,-0.14,-1.198%,258381111.00,United States,2004,135393,Finance,Trusts Except Educational Religious and Charitable
BGY,Blackrock Enhanced International Dividend Trust,$5.30,-0.05,-0.935%,550392614.00,United States,2007,254583,Finance,Trusts Except Educational Religious and Charitable
BH,Biglari Holdings Inc. Class B Common Stock,$182.00,0.09,0.049%,564738720.00,United States,2018,1468,Consumer Discretionary,Restaurants
BHE,Benchmark Electronics Inc. Common Stock,$24.06,0.08,0.334%,846339998.00,United States,,215348,Technology,Electrical Products
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,$10.51,-0.10,-0.943%,567652478.00,United States,2001,199336,Finance,Finance Companies
BHLB,Berkshire Hills Bancorp Inc. Common Stock,$26.00,-1.57,-5.695%,1153846252.00,United States,,354626,Finance,Savings Institutions
BHR,Braemar Hotels & Resorts Inc. Common Stock,$4.61,-0.14,-2.947%,308736600.00,United States,2013,638453,Real Estate,Real Estate Investment Trusts
BHV,BlackRock Virginia Municipal Bond Trust,$11.28,0.13,1.166%,18180010.00,United States,2002,9509,Finance,Finance/Investors Services
BIG,Big Lots Inc. Common Stock,$14.05,-0.55,-3.767%,406872053.00,United States,,1381374,Consumer Discretionary,Department/Specialty Retail Stores
BKD,Brookdale Senior Living Inc. Common Stock,$3.17,-0.12,-3.647%,592173483.00,United States,2005,1671927,Health Care,Hospital/Nursing Management
BKDT,Brookdale Senior Living Inc. 7.00% Tangible Equity Units,$49.14,-1.7001,-3.344%,0.00,United States,2022,6000,Health Care,Hospital/Nursing Management
BKE,Buckle Inc. (The) Common Stock,$36.55,-0.98,-2.611%,1830857702.00,United States,,618030,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BKKT,Bakkt Holdings Inc. Class A Common Stock,$1.22,-0.04,-3.175%,95883322.00,United States,,1902972,Technology,Computer Software: Prepackaged Software
