Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ANDE,Andersons Inc. (The) Common Stock,$43.41,-1.05,-2.362%,1454361497.00,United States,,171880,Consumer Staples,Tobacco
APPH,AppHarvest Inc. Common Stock,$0.78,-0.0086,-1.091%,84165257.00,United States,2020,1671088,Consumer Staples,Farming/Seeds/Milling
APPHW,AppHarvest Inc. Warrants,$0.1423,0.0223,18.583%,0.00,United States,2020,7087,Consumer Staples,Farming/Seeds/Milling
BRFH,Barfresh Food Group Inc. Common Stock,$1.12,0.02,1.818%,14486910.00,United States,,65520,Consumer Staples,Beverages (Production/Distribution)
BRID,Bridgford Foods Corporation Common Stock,$13.8003,0.3204,2.377%,125263005.00,United States,,9056,Consumer Staples,Specialty Foods
BSFC,Blue Star Foods Corp. Common Stock,$0.1808,0.0019,1.062%,6642678.00,United States,,2769854,Consumer Staples,Farming/Seeds/Milling
BTOG,Bit Origin Limited Ordinary Shares,$0.2548,0.0249,10.831%,6088198.00,United States,2019,137714,Consumer Staples,Meat/Poultry/Fish
BYND,Beyond Meat Inc. Common Stock,$17.36,-0.82,-4.51%,1106566554.00,United States,2019,1627890,Consumer Staples,Specialty Foods
CHSCL,CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4,$25.82,-0.19,-0.73%,0.00,United States,,19035,Consumer Staples,Tobacco
CHSCM,CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3,$25.40,-0.28,-1.09%,0.00,United States,,46490,Consumer Staples,Tobacco
CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate,$25.405,-0.195,-0.762%,0.00,United States,,18263,Consumer Staples,Tobacco
CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock,$25.92,-0.20,-0.766%,0.00,United States,,29389,Consumer Staples,Tobacco
CHSCP,CHS Inc. 8%  Cumulative Redeemable Preferred Stock,$29.55,-0.30,-1.005%,0.00,United States,,10375,Consumer Staples,Tobacco
COCO,The Vita Coco Company Inc. Common Stock,$17.635,1.145,6.944%,986224889.00,United States,2021,701464,Consumer Staples,Beverages (Production/Distribution)
CYAN,Cyanotech Corporation Common Stock,$1.12,-0.002,-0.178%,7024608.00,United States,,3482,Consumer Staples,Farming/Seeds/Milling
EAST,Eastside Distilling Inc. Common Stock,$0.28,-0.0079,-2.744%,4406970.00,United States,,26293,Consumer Staples,Beverages (Production/Distribution)
FARM,Farmer Brothers Company Common Stock,$4.23,-0.08,-1.856%,84404494.00,United States,,12839,Consumer Staples,Specialty Foods
HEAR,Turtle Beach Corporation Common Stock,$7.75,0.00,0.00%,128316440.00,United States,,216939,Consumer Staples,Consumer Electronics/Appliances
IMKTA,Ingles Markets Incorporated Class A Common Stock,$93.57,0.32,0.343%,1777303762.00,United States,1987,108816,Consumer Staples,Food Chains
JBSS,John B. Sanfilippo & Son Inc. Common Stock,$90.96,-0.67,-0.731%,1051120298.00,United States,1991,58948,Consumer Staples,Specialty Foods
JVA,Coffee Holding Co. Inc. Common Stock,$1.92,0.01,0.524%,10960510.00,United States,2005,25607,Consumer Staples,Specialty Foods
KOSS,Koss Corporation Common Stock,$4.87,-0.10,-2.012%,44754302.00,United States,,12530,Consumer Staples,Consumer Electronics/Appliances
LFLY,Leafly Holdings Inc. Common Stock,$0.435,-0.0301,-6.472%,17415472.00,United States,2019,309855,Consumer Staples,Retail-Drug Stores and Proprietary Stores
LFLYW,Leafly Holdings Inc. Warrant,$0.06,0.00,0.00%,0.00,United States,2019,1095,Consumer Staples,Retail-Drug Stores and Proprietary Stores
LFVN,Lifevantage Corporation Common Stock (Delaware),$3.60,-0.07,-1.907%,45782370.00,United States,,8075,Consumer Staples,Farming/Seeds/Milling
LMNR,Limoneira Co Common Stock,$15.88,-0.06,-0.376%,283149992.00,United States,,68642,Consumer Staples,Farming/Seeds/Milling
LWAY,Lifeway Foods Inc. Common Stock,$6.10,-0.01,-0.164%,89333048.00,United States,,41658,Consumer Staples,Specialty Foods
MICS,The Singing Machine Company Inc. Common Stock,$2.50,-0.21,-7.749%,7883148.00,United States,,7523,Consumer Staples,Diversified Electronic Products
MMMB,MamaMancini's Holdings Inc. Common Stock,$1.41,-0.30,-17.544%,51208178.00,United States,,178234,Consumer Staples,Farming/Seeds/Milling
NATR,Nature's Sunshine Products Inc. Common Stock,$8.52,-0.89,-9.458%,163299730.00,United States,,94353,Consumer Staples,Farming/Seeds/Milling
NUZE,NuZee Inc. Common Stock,$11.75,0.15,1.293%,8120284.00,United States,,3793,Consumer Staples,Farming/Seeds/Milling
PETS,PetMed Express Inc. Common Stock,$17.63,-0.11,-0.62%,371715804.00,United States,,444967,Consumer Staples,Retail-Drug Stores and Proprietary Stores
RIBT,RiceBran Technologies Common Stock,$1.22,-0.03,-2.40%,7615334.00,United States,,12561,Consumer Staples,Specialty Foods
RKDA,Arcadia Biosciences Inc. Common Stock,$8.05,-0.31,-3.708%,198375828.00,United States,2015,58619,Consumer Staples,Farming/Seeds/Milling
RMCF,Rocky Mountain Chocolate Factory Inc. Common Stock,$5.0999,0.0399,0.789%,31875890.00,United States,,19072,Consumer Staples,Specialty Foods
SANW,S&W Seed Company Common Stock (NV),$1.81,0.01,0.556%,77441873.00,United States,,26822,Consumer Staples,Farming/Seeds/Milling
SENEA,Seneca Foods Corp. Class A Common Stock,$54.08,-0.78,-1.422%,410818071.00,United States,,61250,Consumer Staples,Packaged Foods
SENEB,Seneca Foods Corp. Class B Common Stock,$55.72,0.00,0.00%,423276311.00,United States,,21,Consumer Staples,Packaged Foods
SMFL,Smart for Life Inc. Common Stock,$0.1657,-0.0193,-10.432%,6444254.00,United States,2022,384847,Consumer Staples,Farming/Seeds/Milling
SNAX,Stryve Foods Inc. Class A Common Stock,$0.6604,-0.0101,-1.506%,16517008.00,United States,2019,41475,Consumer Staples,Specialty Foods
SNAXW,Stryve Foods Inc. Warrant,$0.0475,0.0075,18.75%,0.00,United States,2019,44942,Consumer Staples,Specialty Foods
THRN,Thorne Healthtech Inc. Common Stock,$4.84,-0.01,-0.206%,258879582.00,United States,2021,75117,Consumer Staples,Farming/Seeds/Milling
TTCF,Tattooed Chef Inc Class A Common Stock,$1.06,-0.05,-4.505%,27189436.00,United States,2018,724123,Consumer Staples,Farming/Seeds/Milling
