Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AMTX,Aemetis Inc. (DE) Common Stock,$2.985,-0.52,-14.836%,104605973.00,United States,,1773509,Energy,Oilfield Services/Equipment
ARKO,ARKO Corp. Common Stock,$8.85,0.15,1.724%,1062659697.00,United States,,308653,Energy,Oil Refining/Marketing
ARKOW,ARKO Corp. Warrant,$1.79,0.17,10.494%,0.00,United States,,3546,Energy,Oil Refining/Marketing
BRY,Berry Corporation (bry) Common Stock,$9.22,-0.22,-2.331%,707796378.00,United States,2018,1014419,Energy,Oil & Gas Production
CCLP,CSI Compressco LP Common Units,$1.45,0.02,1.399%,204794320.00,United States,2011,224717,Energy,Oilfield Services/Equipment
CHKEL,Chesapeake Energy Corporation Class C Warrants,$58.85,-1.90,-3.128%,0.00,United States,,5349,Energy,Oil & Gas Production
CHKEW,Chesapeake Energy Corporation Class A Warrants,$68.10,1.14,1.703%,0.00,United States,,1051,Energy,Oil & Gas Production
CHKEZ,Chesapeake Energy Corporation Class B Warrants,$64.30,0.85,1.34%,0.00,United States,,1238,Energy,Oil & Gas Production
CLMT,Calumet Specialty Products Partners L.P. Common Units,$18.86,-0.22,-1.153%,1493515535.00,United States,2006,72589,Energy,Oil & Gas Production
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,$29.31,-0.58,-1.94%,1124668460.00,United States,,100769,Energy,Oil & Gas Production
DWSN,Dawson Geophysical Company Common Stock,$1.51,-0.01,-0.658%,35956617.00,United States,,1940,Energy,Oil & Gas Production
HNRG,Hallador Energy Company Common Stock,$8.14,0.23,2.908%,268478405.00,United States,,124885,Energy,Coal Mining
HPKEW,HighPeak Energy Inc. Warrant,$17.02,-1.34,-7.298%,0.00,United States,,2514,Energy,Oil & Gas Production
KLXE,KLX Energy Services Holdings Inc. Common Stock,$15.21,1.64,12.085%,186709032.00,United States,,536893,Energy,Oilfield Services/Equipment
MARPS,Marine Petroleum Trust Units of Beneficial Interest,$7.2001,-0.1199,-1.638%,14400200.00,United States,,3105,Energy,Oil & Gas Production
METC,Ramaco Resources Inc. Common Stock,$9.52,-0.44,-4.418%,420038603.00,United States,2017,831523,Energy,Coal Mining
METCL,Ramaco Resources Inc. 9.00% Senior Notes due 2026,$25.96,0.0601,0.232%,0.00,United States,,2098,Energy,Coal Mining
MMLP,Martin Midstream Partners L.P. Limited Partnership,$2.99,-0.03,-0.993%,116163743.00,United States,2002,49011,Energy,Oil Refining/Marketing
NCSM,NCS Multistage Holdings Inc. Common Stock,$25.10,-0.13,-0.515%,60452697.00,United States,2017,1499,Energy,Oilfield Services/Equipment
NESR,National Energy Services Reunited Corp. Ordinary Shares,$6.13,-0.27,-4.219%,560044371.00,United States,2017,309241,Energy,Oilfield Services/Equipment
NESRW,National Energy Services Reunited Corp. Warrant,$0.3448,0.00,0.00%,0.00,United States,2017,1,Energy,Oilfield Services/Equipment
NEXT,NextDecade Corporation Common Stock,$6.19,-0.40,-6.07%,929907649.00,United States,2015,774508,Energy,Oil & Gas Production
PFIE,Profire Energy Inc. Common Stock,$1.24,0.14,12.727%,58329790.00,United States,,212944,Energy,Oil & Gas Production
PNRG,PrimeEnergy Resources Corporation Common Stock,$90.07,-0.63,-0.695%,172979435.00,United States,,1591,Energy,Oil & Gas Production
POWL,Powell Industries Inc. Common Stock,$46.23,0.70,1.537%,547117395.00,United States,,125109,Energy,Electrical Products
ROCC,Ranger Oil Corporation Class A Common Stock,$40.68,-1.35,-3.212%,776590923.00,United States,,552919,Energy,Oil & Gas Production
SLDP,Solid Power Inc. Class A Common Stock,$2.96,-0.06,-1.987%,520410517.00,United States,2021,1488718,Energy,Electrical Products
SLDPW,Solid Power Inc. Warrant,$0.486,-0.004,-0.816%,0.00,United States,2021,16023,Energy,Electrical Products
TA,TravelCenters of America Inc. Common Stock,$84.31,-0.19,-0.225%,1226442141.00,United States,,563026,Energy,Food Chains
TANNI,TravelCenters of America Inc. 8.25% Senior Notes due 2028,$25.46,-0.207,-0.806%,0.00,United States,,1249,Energy,Food Chains
TANNL,TravelCenters of America Inc. 8.00% Senior Notes due 2029,$25.26,0.01,0.04%,0.00,United States,,8763,Energy,Food Chains
TANNZ,TravelCenters of America Inc. 8.00% Senior Notes due 2030,$25.46,-0.0499,-0.196%,0.00,United States,,3966,Energy,Food Chains
USEG,U.S. Energy Corp. Common Stock (DE),$2.07,-0.04,-1.896%,51799291.00,United States,,18409,Energy,Oil & Gas Production
VIVK,Vivakor Inc. Common Stock,$1.26,-0.04,-3.077%,22761696.00,United States,,30243,Energy,Oilfield Services/Equipment
VTNR,Vertex Energy Inc Common Stock,$9.355,-0.405,-4.15%,707881867.00,United States,,2652482,Energy,Oilfield Services/Equipment
ZEST,Ecoark Holdings Inc. Common Stock,$0.1775,-0.0162,-8.363%,6685852.00,United States,,245303,Energy,Oil & Gas Production
