Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACI,Armada Acquisition Corp. I Common Stock,$10.04,0.00,0.00%,207923380.00,United States,2021,1263,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,$0.1025,-0.0074,-6.733%,0.00,United States,2021,10700,Industrials,Consumer Electronics/Appliances
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,$10.345,0.025,0.242%,387937500.00,United States,2022,4306,Industrials,Consumer Electronics/Appliances
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,$0.1026,0.00,0.00%,0.00,United States,2022,14,Industrials,Consumer Electronics/Appliances
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,$10.48,0.00,0.00%,112987500.00,United States,2022,9,Industrials,Consumer Electronics/Appliances
ACACW,Acri Capital Acquisition Corporation Warrant,$0.0476,-0.0104,-17.931%,0.00,United States,2022,522,Industrials,Consumer Electronics/Appliances
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,$10.12,0.04,0.397%,436425000.00,United States,2021,114,Industrials,Consumer Electronics/Appliances
ACAHU,Atlantic Coastal Acquisition Corp. Unit,$10.02,-0.03,-0.299%,0.00,United States,2021,100,Industrials,Consumer Electronics/Appliances
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,$0.082,-0.003,-3.529%,0.00,United States,2021,43215,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,$10.30,0.04,0.39%,115926500.00,United States,2022,1100,Industrials,Consumer Electronics/Appliances
ACAXR,Alset Capital Acquisition Corp. Right,$0.17,0.00,0.00%,0.00,United States,2022,26,Industrials,Consumer Electronics/Appliances
ACAXW,Alset Capital Acquisition Corp. Warrant,$0.075,0.015,25.00%,0.00,United States,2022,543,Industrials,Consumer Electronics/Appliances
ACDC,ProFrac Holding Corp. Class A Common Stock,$18.79,-1.78,-8.653%,1013887618.00,United States,2022,365840,Industrials,Metal Fabrications
ACDCW,ProFrac Holding Corp. Warrant,$0.026,-0.001,-3.704%,0.00,United States,,13612,Industrials,Metal Fabrications
