Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEI,Alset Inc. Common Stock (TX),$1.64,-0.03,-1.796%,15006195.00,United States,2020,28367,Real Estate,Building operators
AFCG,AFC Gamma Inc. Common Stock,$14.00,-0.21,-1.478%,285096000.00,United States,2021,222130,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$22.56,-0.10,-0.441%,0.00,United States,,16693,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$22.59,0.06,0.266%,0.00,United States,,30705,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$25.25,-0.35,-1.367%,0.00,United States,,31557,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$21.82,-0.72,-3.194%,0.00,United States,,104187,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$20.65,-0.66,-3.097%,0.00,United States,,103971,Real Estate,Real Estate Investment Trusts
ALBT,Avalon GloboCare Corp. Common Stock,$2.475,-0.295,-10.65%,24746146.00,United States,,88842,Real Estate,Building operators
CHCI,Comstock Holding Companies Inc. Class A Common Stock,$5.41,0.05,0.933%,51231320.00,United States,2004,10527,Real Estate,Building operators
CMCT,Creative Media & Community Trust Corporation Common stock,$4.80,-0.10,-2.041%,109141694.00,United States,,43843,Real Estate,Real Estate Investment Trusts
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,$1.76,-0.13,-6.878%,421878442.00,United States,,4571991,Real Estate,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,$13.25,-0.30,-2.214%,0.00,United States,,35151,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,$14.02,-0.57,-3.907%,0.00,United States,,39533,Real Estate,Real Estate Investment Trusts
EEIQ,EpicQuest Education Group International Limited Common Stock,$1.48,-0.12,-7.50%,16930025.00,United States,2021,2536,Real Estate,Other Consumer Services
GIPR,Generation Income Properties Inc. Common Stock,$5.48,0.22,4.183%,13680765.00,United States,,6250,Real Estate,Real Estate Investment Trusts
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,$13.22,-0.30,-2.219%,523604659.00,United States,2003,249324,Real Estate,Real Estate Investment Trusts
GOODN,Gladstone Commercial Corporation 6.625% Series E Cumulative Redeemable Preferred Stock,$20.19,0.1938,0.969%,0.00,United States,,9613,Real Estate,Real Estate Investment Trusts
GOODO,Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock par value $0.001 per share,$18.40,-0.2692,-1.442%,0.00,United States,,6568,Real Estate,Real Estate Investment Trusts
GYRO,Gyrodyne LLC Common Stock,$8.48,0.11,1.314%,12573126.00,United States,,2112,Real Estate,Building operators
HCDI,Harbor Custom Development Inc. Common Stock,$6.61,-0.45,-6.374%,95029928.00,United States,2020,51872,Real Estate,Building operators
HCDIP,Harbor Custom Development Inc. 8.0% Series A Cumulative Convertible Preferred Stock no par value,$5.68,-0.36,-5.96%,0.00,United States,,11083,Real Estate,Building operators
HCDIW,Harbor Custom Development Inc. Warrant,$0.0251,0.00,0.00%,0.00,United States,,19200,Real Estate,Building operators
HCDIZ,Harbor Custom Development Inc. Warrant,$0.0695,0.0125,21.93%,0.00,United States,,600,Real Estate,Building operators
HTIA,Healthcare Trust Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,$20.50,-0.75,-3.529%,0.00,United States,,3526,Real Estate,Real Estate Investment Trusts
HTIBP,Healthcare Trust Inc. 7.125% Series B Cumulative Redeemable Perpetual Preferred Stock,$20.3893,-0.8507,-4.005%,0.00,United States,,1662,Real Estate,Real Estate Investment Trusts
ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,$3.71,-0.17,-4.381%,243251207.00,United States,2018,1198960,Real Estate,Real Estate Investment Trusts
