Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADN,Advent Technologies Holdings Inc. Class A Common Stock,$1.55,-0.10,-6.061%,31679222.00,United States,2018,307527,Utilities,Power Generation
ADNWW,Advent Technologies Holdings Inc. Warrant,$0.1701,-0.0099,-5.50%,0.00,United States,2018,72236,Utilities,Power Generation
AEPPZ,American Electric Power Company Inc. Corporate Units,$49.44,-0.16,-0.323%,0.00,United States,,100499,Utilities,Electric Utilities: Central
AKTS,Akoustis Technologies Inc. Common Stock,$3.69,-0.15,-3.906%,264035777.00,United States,,713273,Utilities,Telecommunications Equipment
AQMS,Aqua Metals Inc. Common Stock,$1.05,-0.08,-7.08%,82306083.00,United States,2015,443368,Utilities,Environmental Services
ARTNA,Artesian Resources Corporation Class A Common Stock,$54.19,-0.88,-1.598%,514316586.00,United States,,62749,Utilities,Water Supply
CDZI,CADIZ Inc. Common Stock,$4.69,-0.01,-0.213%,311444131.00,United States,,374458,Utilities,Water Supply
CDZIP,Cadiz Inc. Depositary Shares,$16.89,-0.01,-0.059%,0.00,United States,,2808,Utilities,Water Supply
CLFD,Clearfield Inc. Common Stock,$55.51,-5.24,-8.626%,844841994.00,United States,,744655,Utilities,Telecommunications Equipment
CLNE,Clean Energy Fuels Corp. Common Stock,$4.34,-0.23,-5.033%,965338141.00,United States,2007,2126930,Utilities,Natural Gas Distribution
DZSI,DZS Inc. Common Stock,$10.10,-0.30,-2.885%,311453316.00,United States,,187336,Utilities,Telecommunications Equipment
FCEL,FuelCell Energy Inc. Common Stock,$3.36,0.06,1.818%,1363259698.00,United States,,32246308,Utilities,Electric Utilities: Central
FKWL,Franklin Wireless Corp. Common Stock,$4.93,-0.15,-2.953%,58096500.00,United States,,4020,Utilities,Telecommunications Equipment
GWRS,Global Water Resources Inc. Common Stock,$12.47,-0.21,-1.656%,297612586.00,United States,2016,20908,Utilities,Water Supply
HCCI,Heritage-Crystal Clean Inc. Common Stock,$35.98,-0.92,-2.493%,869899218.00,United States,2008,68046,Utilities,Water Supply
INFN,Infinera Corporation Common Stock,$7.38,-0.03,-0.405%,1621709473.00,United States,2007,2776021,Utilities,Telecommunications Equipment
JAN,JanOne Inc. Common Stock (NV),$1.51,-0.02,-1.307%,4756847.00,United States,,10004,Utilities,Environmental Services
MKUL,Molekule Group Inc. Common Stock,$2.40,-0.19,-7.336%,73026600.00,United States,2021,54086,Utilities,Environmental Services
MNTK,Montauk Renewables Inc. Common Stock,$9.49,-0.58,-5.76%,1362798933.00,United States,2021,329916,Utilities,Power Generation
MSEX,Middlesex Water Company Common Stock,$74.53,-1.16,-1.533%,1314604485.00,United States,,91828,Utilities,Water Supply
NTGR,NETGEAR Inc. Common Stock,$18.00,0.15,0.84%,520419582.00,United States,2003,87350,Utilities,Telecommunications Equipment
OPAL,OPAL Fuels Inc. Class A Common Stock,$6.87,-0.34,-4.716%,202512967.00,United States,2021,140524,Utilities,Natural Gas Distribution
PCT,PureCycle Technologies Inc. Common stock,$4.51,-0.84,-15.701%,737414085.00,United States,,3601551,Utilities,Environmental Services
PCTTU,PureCycle Technologies Inc. Unit,$7.185,-0.545,-7.05%,0.00,United States,,1813,Utilities,Environmental Services
PCTTW,PureCycle Technologies Inc. Warrant,$2.10,-0.27,-11.392%,0.00,United States,,8263,Utilities,Environmental Services
PCYO,Pure Cycle Corporation Common Stock,$9.02,-0.09,-0.988%,216359538.00,United States,,38058,Utilities,Water Supply
PESI,Perma-Fix Environmental Services Inc. Common Stock,$7.38,0.14,1.934%,98336699.00,United States,,34932,Utilities,Environmental Services
RGCO,RGC Resources Inc. Common Stock,$24.35,0.11,0.454%,241326300.00,United States,,10226,Utilities,Oil & Gas Production
SCWO,374Water Inc. Common Stock,$3.07,-0.03,-0.968%,388910348.00,United States,,56720,Utilities,Environmental Services
SLNG,Stabilis Solutions Inc. Common Stock,$3.29,0.24,7.869%,60492352.00,United States,,93133,Utilities,Oil/Gas Transmission
VGAS,Verde Clean Fuels Inc. Class A Common Stock,$8.7501,-0.2849,-3.153%,304612856.00,United States,2021,10702,Utilities,Power Generation
VGASW,Verde Clean Fuels Inc. Warrant,$0.25,0.0145,6.157%,0.00,United States,2021,5000,Utilities,Power Generation
VIA,Via Renewables Inc. Class A Common Stock,$4.61,-0.27,-5.533%,73104301.00,United States,2014,172126,Utilities,Power Generation
VIASP,Via Renewables Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,$23.65,0.00,0.00%,0.00,United States,,11528,Utilities,Power Generation
YORW,York Water Company (The) Common Stock,$43.64,0.05,0.115%,623018648.00,United States,,59031,Utilities,Water Supply
